2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=ip, originalText=original_text, originalLang=ru, translatedText=translated_text, targetLang=be, time=2024-08-04 01:53:15, status=200, message=Ok]
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=ip, originalText=original_text, originalLang=ru, translatedText=translated_text, targetLang=be, time=2024-08-04 01:53:15, status=200, message=Ok]
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=ip, originalText=original_text, originalLang=ru, translatedText=translated_text, targetLang=be, time=2024-08-04 01:53:15, status=200, message=Ok]
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:13:48 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-08-07 01:13:48 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 20.0.2 with PID 22632 (C:\Users\Nikita\IdeaProjects\tinkoff_lab\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\tinkoff_lab)
2024-08-07 01:13:48 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-07 01:13:50 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 2.603 seconds (process running for 3.366)
2024-08-07 01:13:54 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, originalLanguage=ru, finalLanguage=be]
2024-08-07 01:13:54 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = я 
2024-08-07 01:13:55 INFO  c.t.services.TranslationServiceImpl - Request has received: word = я 
2024-08-07 01:13:55 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = люблю 
2024-08-07 01:13:56 INFO  c.t.services.TranslationServiceImpl - Request has received: word = люблю 
2024-08-07 01:13:56 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = тебя 
2024-08-07 01:13:56 INFO  c.t.services.TranslationServiceImpl - Request has received: word = тебя 
2024-08-07 01:13:56 INFO  c.t.services.TranslationServiceImpl - Translation successfully completed
